id,fid,h_id,a_id,date,league_id,season,h_goals,a_goals,team_h,team_a,h_xg,a_xg,h_w,h_d,h_l,league,h_shot,a_shot,h_shotOnTarget,a_shotOnTarget,h_deep,a_deep,h_ppda,a_ppda
114,959760,73,75,29/08/2015 18:00,1,2015,1,1,Bournemouth,Leicester,0.321432,0.919097,0.0747,0.3278,0.5975,EPL,5,4,2,2,4,6,7.05,5.1667
115,959762,80,78,29/08/2015 18:00,1,2015,1,2,Chelsea,Crystal Palace,1.27906,2.19283,0.1779,0.217,0.6051,EPL,26,13,9,5,10,8,8.2,18.5
116,959764,87,81,29/08/2015 18:00,1,2015,0,3,Liverpool,West Ham,0.561737,0.97217,0.1978,0.3352,0.467,EPL,13,12,1,5,12,1,5.9655,12.0909
117,959766,88,90,29/08/2015 18:00,1,2015,2,0,Manchester City,Watford,1.52895,0.363603,0.7074,0.2257,0.0669,EPL,18,7,5,0,9,1,10.1429,20.4444
118,959773,82,72,29/08/2015 20:30,1,2015,0,0,Tottenham,Everton,1.99917,0.694692,0.7143,0.1943,0.0914,EPL,20,8,6,3,11,6,7.4375,18.5385
119,959770,74,79,30/08/2015 16:30,1,2015,3,0,Southampton,Norwich,2.85501,0.639434,0.9129,0.0777,0.0094,EPL,23,6,8,1,2,2,10.3333,25.5833
120,959772,84,89,30/08/2015 19:00,1,2015,2,1,Swansea,Manchester United,0.971183,1.28089,0.2526,0.3113,0.4361,EPL,9,11,4,4,3,9,15.1739,6.8966
121,959776,72,80,12/09/2015 15:45,1,2015,3,1,Everton,Chelsea,1.18026,0.656048,0.5186,0.2999,0.1815,EPL,14,15,9,2,4,7,15.0476,7.6154
122,959774,83,85,12/09/2015 18:00,1,2015,2,0,Arsenal,Stoke,4.42684,0.191277,0.9918,0.0075,0.0007,EPL,29,8,12,3,20,2,6.76,15.9048
123,959775,78,88,12/09/2015 18:00,1,2015,0,1,Crystal Palace,Manchester City,0.743193,3.08883,0.0179,0.0647,0.9174,EPL,10,21,2,7,2,8,8.625,8.5833
124,959781,90,84,12/09/2015 18:00,1,2015,1,0,Watford,Swansea,1.57333,0.503008,0.684,0.2293,0.0867,EPL,17,8,6,3,3,8,11.2593,6.7
125,959782,76,74,12/09/2015 18:00,1,2015,0,0,West Bromwich Albion,Southampton,0.409143,1.00731,0.1387,0.3427,0.5186,EPL,8,15,1,4,5,7,20.4118,8.5556
126,959779,79,73,12/09/2015 18:00,1,2015,3,1,Norwich,Bournemouth,1.33151,0.389495,0.6567,0.2549,0.0884,EPL,12,7,4,2,7,3,9.9615,11.6316
127,959778,89,87,12/09/2015 20:30,1,2015,3,1,Manchester United,Liverpool,1.46206,1.02572,0.4919,0.318,0.1901,EPL,9,8,3,4,4,5,9.7778,14.4762
128,959780,77,82,13/09/2015 16:30,1,2015,0,1,Sunderland,Tottenham,1.0407,1.45615,0.2401,0.2976,0.4623,EPL,12,15,2,4,4,12,12.0556,5.1724
129,959777,75,71,13/09/2015 19:00,1,2015,3,2,Leicester,Aston Villa,1.34987,0.953181,0.455,0.3004,0.2446,EPL,21,11,6,4,11,5,7.1515,8.4091
130,959783,81,86,14/09/2015 23:00,1,2015,2,0,West Ham,Newcastle United,1.71282,0.716599,0.6555,0.233,0.1115,EPL,17,14,3,4,4,4,11.72,8.2222
131,959786,80,83,19/09/2015 15:45,1,2015,2,0,Chelsea,Arsenal,2.0687,0.775312,0.7235,0.1909,0.0856,EPL,22,9,6,2,14,5,6.0938,13.1818
132,959789,86,90,19/09/2015 18:00,1,2015,1,2,Newcastle United,Watford,1.15114,1.33961,0.2928,0.3012,0.406,EPL,15,13,5,4,7,10,9.4444,7.5946
133,959784,71,76,19/09/2015 18:00,1,2015,0,1,Aston Villa,West Bromwich Albion,0.876719,0.632761,0.3959,0.3707,0.2334,EPL,13,11,3,6,5,2,6.12,8.4138
134,959785,73,77,19/09/2015 18:00,1,2015,2,0,Bournemouth,Sunderland,0.644335,0.854867,0.2375,0.3629,0.3996,EPL,15,9,5,2,7,2,8.5185,9.2692
135,959791,85,75,19/09/2015 18:00,1,2015,2,2,Stoke,Leicester,1.14717,1.22582,0.3009,0.3324,0.3667,EPL,11,12,4,5,2,3,6.9565,6
136,959792,84,72,19/09/2015 18:00,1,2015,0,0,Swansea,Everton,0.864868,1.77458,0.1553,0.2346,0.6101,EPL,12,17,3,2,4,12,8.5769,9
137,959788,88,81,19/09/2015 20:30,1,2015,1,2,Manchester City,West Ham,2.98465,0.995273,0.8408,0.1177,0.0415,EPL,27,6,8,3,15,3,3.6667,23.7692
138,959793,82,78,20/09/2015 16:30,1,2015,1,0,Tottenham,Crystal Palace,1.01573,0.538439,0.4732,0.3412,0.1856,EPL,21,12,6,4,10,5,5.1765,10.1739
139,959790,74,89,20/09/2015 19:00,1,2015,2,3,Southampton,Manchester United,1.83663,1.65119,0.4195,0.2506,0.3299,EPL,15,10,8,3,7,4,17.45,12.2353
140,959787,87,79,20/09/2015 19:00,1,2015,1,1,Liverpool,Norwich,1.90447,0.556271,0.7195,0.1996,0.0809,EPL,23,7,7,2,12,3,8.8636,15.1905
141,959800,82,88,26/09/2015 15:45,1,2015,4,1,Tottenham,Manchester City,2.30799,1.57842,0.5584,0.2208,0.2208,EPL,15,22,8,8,3,17,5.2895,10.9
142,959798,74,84,26/09/2015 18:00,1,2015,3,1,Southampton,Swansea,1.55418,1.41962,0.3655,0.3128,0.3217,EPL,17,11,6,4,10,4,11.7037,11.1111
